Instance,N,K,Name,Transitions,States,Time(ms),Failed,Method
BW,9,2,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,9,3,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,9,4,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,9,5,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,9,6,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,9,7,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,9,8,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,9,9,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,9,10,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,9,11,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,9,12,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,9,13,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,9,14,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,9,15,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,10,1,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,10,2,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,10,3,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,10,4,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,10,5,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,10,6,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,10,7,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,10,8,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,10,9,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,10,10,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,10,11,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,10,12,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,10,13,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
